cycle,n,OR,CI_lo,CI_hi,p
2005-2006,4057,1.0960951368270249,0.6608246223585168,1.8180686801407442,0.7222977559225197
2007-2008,4848,0.6554216996498377,0.4495470727026802,0.9555786934375045,0.02808007204239477
2009-2010,5001,0.7045237060864908,0.49505030091599095,1.0026327658410499,0.05173171498690472
2011-2012,4291,0.6625070785646177,0.34473371379974044,1.2732019282662772,0.21672258653292664
2013-2014,4828,0.9444011371080184,0.6460780036044932,1.3804734146573807,0.7677378680997622
2015-2016,4592,0.8983280427845001,0.5074470839652058,1.5903003445150623,0.7129166941821211
2017-2018,4493,1.2503382880363156,0.7331516386229717,2.132363555056509,0.4120518327405408
