outcome,key,OR,CI_lo,CI_hi,p
"BP control
(hypertensives)",bp_controlled,1.2583111457808451,1.098946582569344,1.440786080697779,0.0008824148155229103
"A1c control
(diabetics)",a1c_controlled,1.329077246391661,1.0256267007321074,1.7223092238288302,0.03145132742716886
"High cholesterol
(full sample)",chol_high,0.857562334005686,0.7100488143708047,1.0357219698436526,0.11059572125028902
