cycle,n,OR,CI_lo,CI_hi,p
2005-2006,496,0.7813007123478387,0.3766637573321539,1.620625269175933,0.5073480577540446
2007-2008,765,1.270929394313732,0.7166855935642354,2.2537937693118937,0.41206904780841547
2009-2010,751,1.2207198746623136,0.7043356911284386,2.1156914680954855,0.4772096987481118
2011-2012,709,1.5394404179844345,0.7417584099923316,3.194944295338142,0.2468354208803012
2013-2014,747,0.824700596985212,0.44125257423297587,1.541364548070975,0.5458329955319081
2015-2016,842,1.0721706431693152,0.5763475415912902,1.994542884489811,0.8258460369933937
2017-2018,884,2.7944172558281055,1.4529954893486514,5.374254673818975,0.0020721686409534232
