cycle,n,OR,CI_lo,CI_hi,p
2005-2006,1278,1.014780906130968,0.731786412679285,1.407214276741844,0.9299073855072287
2007-2008,1770,1.2883447275923925,0.9565806479592573,1.7351721892515344,0.09536329706325905
2009-2010,1799,1.6885827302203618,1.1280373186142738,2.5276749179726754,0.010918049826399257
2011-2012,1621,0.8379226313861015,0.5769309834330625,1.2169815044618246,0.3530644084516331
2013-2014,1824,1.1614205310289858,0.7677582170377573,1.7569302678388843,0.47858799831068766
2015-2016,1748,1.5964186779140626,1.2176328255752467,2.0930386744369094,0.0007121942369491415
2017-2018,1732,1.3259353543155168,0.9638127927464575,1.8241141610228717,0.08300911726878038
