Subgroup,Exposure,N,Events,HR,CI_low,CI_high,P
20-59,Diabetes,1306,146,1.6596978623516856,1.0893346486895639,2.528696757794724,0.018
60-79,Diabetes,2407,861,1.356972260953166,1.171082065532988,1.5723694958630363,<0.001
80+,Diabetes,1002,669,1.330231324628314,1.1016839210170066,1.606191524869394,0.003
20-59,Hypertension,1306,146,1.1573073035458359,0.8193700256574271,1.6346219081737687,0.407
60-79,Hypertension,2407,861,1.2905537991429101,1.1171566918824194,1.49086437075874,<0.001
80+,Hypertension,1002,669,1.0190718612283434,0.8692339127094219,1.1947387730310115,0.816
